LastB,LastF,Current
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
